,product_name,price,url,product_rating
0,"Persian  Area   Rug  Non-Slip Machine Washable Carpet Stain Resistant  Rug  for Living Room Bedroom Dining Room Kids Nursery Office Laundry Room Decor Bathroom Kitchen Indoor (Garnet/Grey, 2'7""x5'3"") …",US$36.99,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06250331KRTTC26662RJ&qualifier=1682675430&id=2145365484353172&widgetName=sp_atf&url=%2Fdp%2FB0BS2HZ1P3%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DArea%2BRug%26qid%3D1682675430%26sr%3D8-1-spons%26psc%3D1,4.4 颗星，最多 5 颗星
1,"Adiva Rugs 可机洗地毯带防滑背衬,适用于客厅、卧室、浴室、厨房、印花波斯复古家居装饰、地板装饰地毯垫(粉色,5'3"" x 7'5"")",US$99.99,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08249622GVO2GI5SFIN8&qualifier=1682675430&id=2145365484353172&widgetName=sp_atf&url=%2Fdp%2FB092CTL2Z7%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DArea%2BRug%26qid%3D1682675430%26sr%3D8-2-spons%26psc%3D1%26smid%3DA2PKON4QY2D3BG,4.4 颗星，最多 5 颗星
2,"befbee 可洗地毯 8x10 客厅区域地毯 - 防污防滑卧室地毯 - 复古波西米亚波斯大面积地毯(姜黄/灰色,8'x10')",US$189.90,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08437501FFG27J3SOY2X&qualifier=1682675430&id=2145365484353172&widgetName=sp_atf&url=%2Fdp%2FB0BPBSYHL8%2Fref%3Dsr_1_3_sspa%3Fkeywords%3DArea%2BRug%26qid%3D1682675430%26sr%3D8-3-spons%26psc%3D1,4.8 颗星，最多 5 颗星
3,"ANVARUG 3x5 英尺小面积地毯,升级防滑耐用矩形舒适地毯,高绒毛地毯适用于室内家居装饰,扎染浅灰色",US$24.99,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02906832LB89W0VP3SAR&qualifier=1682675430&id=2145365484353172&widgetName=sp_atf&url=%2Fdp%2FB0B12F1J9D%2Fref%3Dsr_1_4_sspa%3Fkeywords%3DArea%2BRug%26qid%3D1682675430%26sr%3D8-4-spons%26psc%3D1,4.3 颗星，最多 5 颗星
4,"JONATHAN Y MOH101B-5 摩洛哥炒作波西米亚复古钻石 5 英尺 x 8 英尺(约 1.5 米 x 2.4 米)地毯,波西米亚,西南,休闲,过渡,宠物友好,不脱落,防污渍,易易携带 倾斜、绉纱 AM/Gray",24 种尺码,/-/zh/dp/B07T94Q186/ref=ice_ac_b_dpb?keywords=Area+Rug&qid=1682675430&sr=8-5,4.5 颗星，最多 5 颗星
5,SAFAVIEH 麦迪逊系列 10' x 14' 紫红色/象牙白 MAD603R 东方雪花奖章仿旧不脱落客厅卧室餐厅家庭办公室地毯,38 种尺码,/-/zh/dp/B07NPLKFF1/ref=sr_1_6?keywords=Area+Rug&qid=1682675430&sr=8-6,4.6 颗星，最多 5 颗星
6,"卧室客厅区域地毯 20.32 x 25.40 厘米,柔软复古地毯可水洗带防滑背衬,不脱落防污大号波西米亚波斯地毯,适用于家居装饰室内地板-米色",US$169.99,/-/zh/dp/B0BTRN5LWM/ref=sr_1_7?keywords=Area+Rug&qid=1682675430&sr=8-7,4.8 颗星，最多 5 颗星
7,SAFAVIEH Adirondack 系列 9' x 12' 香槟色/奶油色 ADR113W 现代渐变不脱落客厅卧室餐厅家庭办公室地毯,76 种尺码,/-/zh/dp/B01MQVVCE1/ref=sr_1_8?keywords=Area+Rug&qid=1682675430&sr=8-8,4.4 颗星，最多 5 颗星
8,"LFHHT 蓬松区域地毯 8x10 英尺适用于客厅卧室,大型现代室内柔软毛绒地毯长绒地毯儿童女孩男孩教室托儿所宿舍,扎染浅灰色",US$99.99,/-/zh/dp/B0BN31DN5G/ref=sr_1_9?keywords=Area+Rug&qid=1682675430&sr=8-9,4.4 颗星，最多 5 颗星
9,"Rugland 5x7 区域地毯 - 防污可洗地毯,客厅防滑背衬地毯,波西米亚复古部落地毯(TPR07-象牙色,5'x7')",US$99.99,/-/zh/dp/B09SZ7D1QF/ref=sr_1_10?keywords=Area+Rug&qid=1682675430&sr=8-10,4.5 颗星，最多 5 颗星
10,"卧室客厅区域地毯 20.32 x 25.40 厘米,柔软复古地毯可水洗带防滑背衬,不脱落防污大号波西米亚波斯地毯,适用于家居装饰室内地板-米色",US$169.99,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02645072I2QNFEQ7OH4U&qualifier=1682675430&id=2145365484353172&widgetName=sp_mtf&url=%2Fdp%2FB0BTRN5LWM%2Fref%3Dsr_1_11_sspa%3Fkeywords%3DArea%2BRug%26qid%3D1682675430%26sr%3D8-11-spons%26psc%3D1,4.8 颗星，最多 5 颗星
