,product_name,price,url,product_rating
0,"ChrisDowa 索环遮光窗帘适用于卧室和客厅 - 2 片隔热房间变暗窗帘(深灰色,42 x 63 英寸)",US$18.49,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02861491YGQQ6H3FWWIA&qualifier=1682675467&id=7350934921368040&widgetName=sp_atf&url=%2Fdp%2FB0881QG5WK%2Fref%3Dice_ac_b_dpb_sspa%3Fkeywords%3DCurtains%26qid%3D1682675467%26sr%3D8-1-spons%26psc%3D1,4.6 颗星，最多 5 颗星
1,"BGment 卧室遮光窗帘 - 客厅用索环隔热房间变暗窗帘,2 片套装(42 x 63 英寸,海军蓝)",US$18.75,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A104536233KLYHG9P7CM6&qualifier=1682675467&id=7350934921368040&widgetName=sp_atf&url=%2Fdp%2FB07D6HCZTY%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DCurtains%26qid%3D1682675467%26sr%3D8-2-spons%26psc%3D1,4.6 颗星，最多 5 颗星
2,"H.VERSAILTEX 家居装饰隐私窗帘亚麻窗帘/天然亚麻混纺薄纱窗帘/面板/窗帘,镍索环,自然色,96 英寸长客厅窗帘",US$31.49,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01392881A00RJ0UDT8NA&qualifier=1682675467&id=7350934921368040&widgetName=sp_atf&url=%2Fdp%2FB01MSIHTOO%2Fref%3Dsr_1_3_sspa%3Fkeywords%3DCurtains%26qid%3D1682675467%26sr%3D8-3-spons%26psc%3D1,4.6 颗星，最多 5 颗星
3,"NICETOWN 天然亚麻窗帘 213.36 cm 长 2 片套装,索环顶部厚亚麻粗麻布半透明垂直窗帘隐私,卧室/客厅滤光,宽55 x 长84",US$26.95,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09096201OVZJ7AL3HG1E&qualifier=1682675467&id=7350934921368040&widgetName=sp_atf&url=%2Fdp%2FB09QKMGXZM%2Fref%3Dsr_1_4_sspa%3Fkeywords%3DCurtains%26qid%3D1682675467%26sr%3D8-4-spons%26psc%3D1,4.5 颗星，最多 5 颗星
4,"NICETOWN 隔热索环遮光窗帘适用于卧室(2 片窗帘,宽 42 x 长 63 英寸,灰色)",US$13.13,/-/zh/dp/B01CS31NV6/ref=sr_1_5?keywords=Curtains&qid=1682675467&sr=8-5,4.7 颗星，最多 5 颗星
5,"NICETOWN 天然亚麻窗帘 213.36 cm 长 2 片套装,索环顶部厚亚麻粗麻布半透明垂直窗帘隐私,卧室/客厅滤光,宽55 x 长84",US$26.95,/-/zh/dp/B09QKMGXZM/ref=sr_1_6?keywords=Curtains&qid=1682675467&sr=8-6,4.5 颗星，最多 5 颗星
6,"ECLIPSE Kendall 现代遮光隔热杆口袋窗帘适用于卧室或客厅(1 片),106.68 厘米 x 213.36 厘米,象牙色",N/A,/-/zh/dp/B00DPWVIC4/ref=sr_1_7?keywords=Curtains&qid=1682675467&sr=8-7,4.3 颗星，最多 5 颗星
7,"ChrisDowa 索环遮光窗帘适用于卧室和客厅 - 2 片隔热房间变暗窗帘(深灰色,42 x 63 英寸)",US$18.49,/-/zh/dp/B0881QG5WK/ref=ice_ac_b_dpb?keywords=Curtains&qid=1682675467&sr=8-8,4.6 颗星，最多 5 颗星
8,"NICETOWN 白色薄纱亚麻窗帘 适用于客厅 84 英寸(约 213.4 厘米)长 2 片窗帘,索环半透明平衡隐私和轻型垂直亚麻薄纱窗帘,适用于卧室,宽 52 x 长 84",US$13.54,/-/zh/dp/B08L4CJG4Z/ref=sr_1_9?keywords=Curtains&qid=1682675467&sr=8-9,4.7 颗星，最多 5 颗星
9,"Deconovo 房间变暗隔热索环黑色遮光窗帘 - 客厅降噪面板(2 片,42x63 英寸)",US$18.40,/-/zh/dp/B01HROI6QQ/ref=sr_1_10?keywords=Curtains&qid=1682675467&sr=8-10,4.6 颗星，最多 5 颗星
