,product_name,price,url,product_rating
0,"Amazon Basics 记忆泡沫床垫,中等硬度,12 英寸,双床",5 种尺码,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06408131488VUWXKCGD6&qualifier=1682675202&id=4070631551474919&widgetName=sp_atf&url=%2Fdp%2FB0B34NKM5C%2Fref%3Dsr_1_1_ffob_sspa%3Fkeywords%3DMattresses%26qid%3D1682675202%26sr%3D8-1-spons%26psc%3D1,4.4 颗星，最多 5 颗星
1,"Zeffly 全尺寸床垫 10 英寸(约 25.4 厘米),带独立口袋弹簧的凝胶记忆泡沫床垫,盒装混合床垫用于缓解压力和凉爽睡眠,CertiPUR-US 认证",US$202.99,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0193584XIC5SSEDAHRZ&qualifier=1682675202&id=4070631551474919&widgetName=sp_atf&url=%2Fdp%2FB09NN1ZVKH%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DMattresses%26qid%3D1682675202%26sr%3D8-2-spons%26psc%3D1,4.6 颗星，最多 5 颗星
2,"IYEE NATURE 折叠床垫,3 英寸(约 7.6 厘米)三折记忆泡沫床垫顶部,可折叠床垫罩,适用于露营,客人 - 大号,78 x 58 x 3 英寸(约 198.1 x 147.3 x 7.6 厘米)",US$119.99,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A002011985VD8FA0WMHF&qualifier=1682675202&id=4070631551474919&widgetName=sp_atf&url=%2Fdp%2FB0BRT37M5L%2Fref%3Dsr_1_3_sspa%3Fkeywords%3DMattresses%26qid%3D1682675202%26sr%3D8-3-spons%26psc%3D1,N/A
3,"Serta - 7"" 冷却凝胶记忆泡沫床垫,单人床尺寸,中等硬度,支撑性,CertiPur-US 认证,100 晚试用,适用于 Ewe - 灰色",US$299.00,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0028246PVWZZKE7FDDO&qualifier=1682675202&id=4070631551474919&widgetName=sp_atf&url=%2Fdp%2FB09TV5JF2Q%2Fref%3Dsr_1_4_sspa%3Fkeywords%3DMattresses%26qid%3D1682675202%26sr%3D8-4-spons%26psc%3D1,4.4 颗星，最多 5 颗星
4,"Zeffly 大号床垫 10 英寸(约 25.4 厘米),凝胶记忆泡沫床垫带独立口袋弹簧,盒装混合床垫用于缓解压力和凉爽睡眠,CertiPUR-US 认证",US$239.99,/-/zh/dp/B09NN297H6/ref=sr_1_5?keywords=Mattresses&qid=1682675202&sr=8-5,4.6 颗星，最多 5 颗星
5,"Best Price 床垫 6 英寸(约 15.2 厘米)签名绿茶记忆泡沫床垫,单人床",US$99.00,/-/zh/dp/B00HCZ0XBM/ref=sr_1_6?keywords=Mattresses&qid=1682675202&sr=8-6,4.5 颗星，最多 5 颗星
6,"Zinus 6 英寸(约 15.2 厘米)绿茶记忆泡沫床垫/CertiPUR-US 认证/盒装床/减压,窄双床",US$113.00,/-/zh/dp/B074QTSBS2/ref=sr_1_7?keywords=Mattresses&qid=1682675202&sr=8-7,4.4 颗星，最多 5 颗星
7,"Olee Sleep 10 英寸水瓶座记忆泡沫床垫 - 普通双人床,灰色",US$215.48,/-/zh/dp/B073VLQ5JR/ref=sr_1_8?keywords=Mattresses&qid=1682675202&sr=8-8,4.5 颗星，最多 5 颗星
8,"Novilla 大号床垫,12 英寸(约 30.5 厘米)冷却凝胶记忆泡沫床垫,盒装,用于凉爽睡眠和缓解压力的泡沫床垫,中等软床垫带运动隔离功能,充满活力",US$317.14,/-/zh/dp/B0B9B8L4PY/ref=sr_1_9?keywords=Mattresses&qid=1682675202&sr=8-9,4.7 颗星，最多 5 颗星
9,"Novilla 特大床垫,30.48 厘米凝胶记忆泡沫特大号床垫,清凉睡眠和压力缓解,中等紧致感,运动隔离,幸福",US$396.04,/-/zh/dp/B083YXZP19/ref=sr_1_10?keywords=Mattresses&qid=1682675202&sr=8-10,4.4 颗星，最多 5 颗星
10,"Novilla 大号床垫,30.48 厘米凝胶记忆泡沫大号床垫,用于冷却睡眠和缓解压力,中等柔软带运动隔离功能,盒装床垫",US$334.99,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01067213MD66BJZ8AW9U&qualifier=1682675202&id=4070631551474919&widgetName=sp_mtf&url=%2Fdp%2FB0BZY69DFX%2Fref%3Dsr_1_11_sspa%3Fkeywords%3DMattresses%26qid%3D1682675202%26sr%3D8-11-spons%26psc%3D1,5.0 颗星，最多 5 颗星
