,product_name,price,url,product_rating
0,"三星 27 英寸 CF39 系列 FHD 1080p 弧形电脑显示器,超薄设计,AMD FreeSync,4 毫秒响应,HDMI,显示端口,VESA 兼容,宽视角(LC27F398FWNXZA),黑色",US$165.22,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0769407348UM5WXKGCIN&qualifier=1682675503&id=5955132788904445&widgetName=sp_atf&url=%2Fdp%2FB01CX26WIG%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DMonitors%26qid%3D1682675503%26sr%3D8-1-spons%26psc%3D1,4.7 颗星，最多 5 颗星
1,"KOORUI 24 英寸电脑显示器全高清 1920 x 1080p VA 显示屏 75Hz 3000:1 对比度带 HDMI、VGA、无框、75 x 75 毫米 VESA 可安装,符合人体工程学的倾斜,黑色",US$97.43,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A067757634LYCXRI5QTL1&qualifier=1682675503&id=5955132788904445&widgetName=sp_atf&url=%2Fdp%2FB09VD9P2Q3%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DMonitors%26qid%3D1682675503%26sr%3D8-2-spons%26psc%3D1,4.3 颗星，最多 5 颗星
2,"Sceptre 24 英寸专业超薄 75Hz 1080p LED 显示器 2 个 HDMI VGA 内置扬声器,机器黑色(E248W-19203R 系列)",US$100.06,/-/zh/dp/B0773ZY26F/ref=ice_ac_b_dpb?keywords=Monitors&qid=1682675503&sr=8-3,4.6 颗星，最多 5 颗星
3,"宏碁 21.5 英寸全高清(1920 x 1080)IPS 超薄零帧电脑显示器(HDMI 和 VGA 端口),SB220Q bi",US$89.99,/-/zh/dp/B07CVL2D2S/ref=sr_1_4?keywords=Monitors&qid=1682675503&sr=8-4,4.6 颗星，最多 5 颗星
4,宏碁 KB272 Hbi 27 英寸全高清(1920 x 1080)零帧游戏办公显示器 | AMD FreeSync 技术 | 100Hz | 1ms (VRB) | 低蓝光 | 倾斜 | HDMI 和 VGA 端口,US$119.99,/-/zh/dp/B0BS9TDY31/ref=sr_1_5?keywords=Monitors&qid=1682675503&sr=8-5,4.6 颗星，最多 5 颗星
5,宏碁 K202HQL bi 19.5 英寸 HD+ (1600 x 900) TN 显示器 | 60Hz 刷新率 | 5ms 响应时间 | NTSC 72% 色域 I 倾斜 VESA 兼容工作或家庭 | HDMI 端口 1.4 和 VGA 端口,US$69.95,/-/zh/dp/B09MZMJRGJ/ref=sr_1_6?keywords=Monitors&qid=1682675503&sr=8-6,4.5 颗星，最多 5 颗星
6,NexPad USB-C 便携式显示器适用于笔记本电脑。12 英寸全高清 1080P IPS 触摸屏可连接笔记本电脑显示器扩展器。兼容 Mac 和 Chrome 笔记本电脑,US$249.00,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0409052DP5AG556H6WQ&qualifier=1682675503&id=5955132788904445&widgetName=sp_mtf&url=%2Fdp%2FB0BWFSM83Z%2Fref%3Dsr_1_7_sspa%3Fkeywords%3DMonitors%26qid%3D1682675503%26sr%3D8-7-spons%26psc%3D1,5.0 颗星，最多 5 颗星
7,"Sceptre 20 英寸 1600 x 900 75Hz LED 显示器 2 个 HDMI VGA 内置扬声器,sRGB 99% 机器黑色(E209W-16003RT 系列)",US$81.96,/-/zh/dp/B078HMK7S3/ref=sr_1_8?keywords=Monitors&qid=1682675503&sr=8-8,4.5 颗星，最多 5 颗星
8,"KOORUI 24 英寸电脑显示器全高清 1920 x 1080p VA 显示屏 75Hz 3000:1 对比度带 HDMI、VGA、无框、75 x 75 毫米 VESA 可安装,符合人体工程学的倾斜,黑色",US$97.43,/-/zh/dp/B09VD9P2Q3/ref=sr_1_9?keywords=Monitors&qid=1682675503&sr=8-9,4.3 颗星，最多 5 颗星
9,宏碁 23.8 英寸全高清 1920 x 1080 IPS 零帧家庭办公电脑显示器 - 178° 广角 - 16.7M - NTSC 72% 色域 - 低蓝光 - 倾斜兼容 - VGA HDMI DVI R240HY bidx,US$99.99,/-/zh/dp/B0148NNKTC/ref=sr_1_10?keywords=Monitors&qid=1682675503&sr=8-10,4.7 颗星，最多 5 颗星
10,"宏碁 Nitro XZ270 Xbmiipx 27 英寸 1500R 弧形全高清 (1920 x 1080) VA 零帧游戏监视器,自适应同步,240Hz 刷新率和 1ms VRB(显示端口和 2 x HDMI 2.0 端口) 黑色",US$179.99,/-/zh/dp/B08R7PQ4JW/ref=sr_1_11?keywords=Monitors&qid=1682675503&sr=8-11,4.4 颗星，最多 5 颗星
11,"Z-Edge U24C 24 英寸弧形游戏监视器,全高清 1080P 1920x1080 LED 背光显示器,采用 75Hz 刷新率和眼部护理技术,178° 宽视角,内置扬声器, VGA+HDMI。",US$139.99,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04008273I79GGQPIGHJ&qualifier=1682675503&id=5955132788904445&widgetName=sp_mtf&url=%2Fdp%2FB08L3H5DSR%2Fref%3Dsr_1_12_sspa%3Fkeywords%3DMonitors%26qid%3D1682675503%26sr%3D8-12-spons%26psc%3D1,4.4 颗星，最多 5 颗星
12,"Sceptre 27 英寸全高清 LED 游戏显示器 75Hz 2X HDMI VGA 内置扬声器,超薄金属黑色",US$133.79,/-/zh/dp/B078HSKBG3/ref=sr_1_13?keywords=Monitors&qid=1682675503&sr=8-13,4.5 颗星，最多 5 颗星
13,"华硕 23.8 英寸 1080P 显示器 (VA247HE) - 全高清,75Hz,自适应同步/FreeSync™,低蓝光,无闪烁,眼部护理Plus,VESA 可安装,无框,HDMI,DVI,VGA,倾斜可调",US$99.00,/-/zh/dp/B09DHNBDGD/ref=sr_1_14?keywords=Monitors&qid=1682675503&sr=8-14,4.6 颗星，最多 5 颗星
14,"CRUA 24 英寸曲面显示器,全高清(1920×1080p)2800R 75HZ,95% sRGB 色域电脑显示器,3 面窄边框和过滤蓝光功能,台式电脑显示器(HDMI,VGA)- 机器 缺乏缺乏",US$89.99,/-/zh/dp/B0B17J144M/ref=sr_1_15?keywords=Monitors&qid=1682675503&sr=8-15,4.4 颗星，最多 5 颗星
15,"LG 24MP750C-B 24 英寸全高清(1920 x 1080)IPS 显示屏,内置全高清网络摄像头和麦克风,USB C 型(65W PD),倾斜高度,旋转,双向枢轴可调",US$146.99,/-/zh/dp/B0B6QB7YGT/ref=sr_1_16?keywords=Monitors&qid=1682675503&sr=8-16,4.6 颗星，最多 5 颗星
16,"CRUA 22 Inch Monitor, FHD(1920x1080P) 75HZ VA Desktop Computer Monitor, 3 Sides Narrow Bezel 178° Wide Viewing Angle Business Office Display with Eye-Care Technology, Support VESA, VGA&HDMI Port-Black",US$79.99,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A10372022KO5VSJ26JOMJ&qualifier=1682675503&id=5955132788904445&widgetName=sp_mtf&url=%2Fdp%2FB0B4BCPPNT%2Fref%3Dsr_1_17_sspa%3Fkeywords%3DMonitors%26qid%3D1682675503%26sr%3D8-17-spons%26psc%3D1,4.4 颗星，最多 5 颗星
