,product_name,price,url,product_rating
0,"Python Object-Oriented Programming: Build robust and maintainable object-oriented Python applications and libraries, 4th Edition",US$38.24,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0184843M7WXOTQ9OTTG&qualifier=1682675356&id=4149426580238084&widgetName=sp_atf&url=%2Fdp%2F1801077266%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DProgramming%2BBooks%26qid%3D1682675356%26sr%3D8-1-spons%26psc%3D1,4.3 颗星，最多 5 颗星
1,"Engineers Survival Guide: Advice, tactics, and tricks After a decade of working at Facebook, Snapchat, and Microsoft",US$29.99,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0150080CB9DMNC0HR3F&qualifier=1682675356&id=4149426580238084&widgetName=sp_atf&url=%2Fdp%2FB09MBZBGFK%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DProgramming%2BBooks%26qid%3D1682675356%26sr%3D8-2-spons%26psc%3D1,4.5 颗星，最多 5 颗星
2,"Computer Programming: The Bible: Learn From The Basics to Advanced of Python, C, C++, C#, HTML Coding, and Black Hat Hacking Step-by-Step IN NO TIME!",US$14.95,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02777672ZF54XYUGC9PT&qualifier=1682675356&id=4149426580238084&widgetName=sp_atf&url=%2Fdp%2F1727521900%2Fref%3Dsr_1_3_sspa%3Fkeywords%3DProgramming%2BBooks%26qid%3D1682675356%26sr%3D8-3-spons%26psc%3D1,3.9 颗星，最多 5 颗星
3,C# & C++: 5 Books in 1 - The #1 Coding Course from Beginner to Advanced (2023),US$30.81,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01011531LO2O6IDU5L9S&qualifier=1682675356&id=4149426580238084&widgetName=sp_atf&url=%2Fdp%2FB0C1J1XLJT%2Fref%3Dsr_1_4_sspa%3Fkeywords%3DProgramming%2BBooks%26qid%3D1682675356%26sr%3D8-4-spons%26psc%3D1,5.0 颗星，最多 5 颗星
4,Code: The Hidden Language of Computer Hardware and Software,US$35.99,/-/zh/dp/0137909101/ref=sr_1_5?keywords=Programming+Books&qid=1682675356&sr=8-5,4.8 颗星，最多 5 颗星
5,"The Pragmatic Programmer: 20th Anniversary Edition, 2nd Edition: Your Journey to Mastery",N/A,/-/zh/dp/B0833FBNHV/ref=sr_1_6?keywords=Programming+Books&qid=1682675356&sr=8-6,4.8 颗星，最多 5 颗星
6,The Rules of Programming: How to Write Better Code,US$41.96,/-/zh/dp/1098133110/ref=sr_1_7?keywords=Programming+Books&qid=1682675356&sr=8-7,4.4 颗星，最多 5 颗星
7,Cracking the Coding Interview: 189 Programming Questions and Solutions,US$35.15,/-/zh/dp/0984782850/ref=sr_1_8?keywords=Programming+Books&qid=1682675356&sr=8-8,4.7 颗星，最多 5 颗星
8,C++: 2 books in 1 - The Ultimate Beginners Guide to Master C++ Programming Quickly with No Prior Experience (Computer Programming),US$24.69,/-/zh/dp/B0BMZBYMKJ/ref=sr_1_9?keywords=Programming+Books&qid=1682675356&sr=8-9,4.5 颗星，最多 5 颗星
9,"The Computer Programming Bible: A Step by Step Guide On How To Master From The Basics to Advanced of Python, C, C++, C#, HTML Coding Raspberry Pi3",US$13.26,/-/zh/dp/1661846289/ref=sr_1_10?keywords=Programming+Books&qid=1682675356&sr=8-10,4.4 颗星，最多 5 颗星
10,The Self-Taught Programmer: The Definitive Guide to Programming Professionally,US$18.99,/-/zh/dp/0999685902/ref=sr_1_11?keywords=Programming+Books&qid=1682675356&sr=8-11,4.5 颗星，最多 5 颗星
11,"C#: 3 books in 1 - The Ultimate Beginner, Intermediate & Advanced Guides to Master C# Programming Quickly with No Experience (Computer Programming)",US$24.69,/-/zh/dp/B0BCSFB3RG/ref=sr_1_12?keywords=Programming+Books&qid=1682675356&sr=8-12,4.4 颗星，最多 5 颗星
12,"Computer Programming Crash Course: 7 Books in 1: Coding Languages for Beginners: C++, C#, SQL, Python, Data Science for Python, Raspberry Pi and Arduino. Teach Yourself to Code. Learn Faster.",US$0.00,/-/zh/dp/B08NTY8Y4P/ref=sr_1_13?keywords=Programming+Books&qid=1682675356&sr=8-13,4.5 颗星，最多 5 颗星
13,Python Programming and SQL: A Comprehensive Guide for Beginners to Mastering Python and SQL – Hands-On Exercises and Step-By-Step Guidance to Get a Competitive Edge and Achieve Your Career Goals!,US$28.47,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A033782218DDNSAHGOIPP&qualifier=1682675356&id=4149426580238084&widgetName=sp_mtf&url=%2Fdp%2FB0BZF9GGVF%2Fref%3Dsr_1_14_sspa%3Fkeywords%3DProgramming%2BBooks%26qid%3D1682675356%26sr%3D8-14-spons%26psc%3D1,5.0 颗星，最多 5 颗星
14,"Excel 2023: The Easiest Way to Master Microsoft Excel in 7 Days. 200 Clear Illustrations and 100+ Exercises in This Step-by-Step Guide Designed for Absolute Newbie. Discover Formula, Charts and More",US$14.95,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03776011OB3CIBVQF5PZ&qualifier=1682675356&id=4149426580238084&widgetName=sp_mtf&url=%2Fdp%2FB0BKS8QXS4%2Fref%3Dsr_1_15_sspa%3Fkeywords%3DProgramming%2BBooks%26qid%3D1682675356%26sr%3D8-15-spons%26psc%3D1,4.8 颗星，最多 5 颗星
