,product_name,price,url,product_rating
0,"Amazon Essentials Men's Short-Sleeve Crewneck T-Shirt, Pack of 2",US$13.40,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A030641591HOL4FCKC0Q&qualifier=1682675267&id=6551951048337861&widgetName=sp_atf&url=%2Fdp%2FB07YDZL2VM%2Fref%3Dsr_1_1_ffob_sspa%3Fkeywords%3DT-shirts%26qid%3D1682675267%26sr%3D8-1-spons%26psc%3D1,4.2 颗星，最多 5 颗星
1,"Gildan Men's Crew T- Shirts , Multipack, Style G1100",US$21.99,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09181294ANO9E28R49W&qualifier=1682675267&id=6551951048337861&widgetName=sp_atf&url=%2Fdp%2FB093121LW9%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DT-shirts%26qid%3D1682675267%26sr%3D8-2-spons%26psc%3D1,4.6 颗星，最多 5 颗星
2,"Gildan Men's Crew T- Shirts , Multipack, Style G1100",US$19.99,/-/zh/dp/B077ZKDQLV/ref=sr_1_3?keywords=T-shirts&qid=1682675267&sr=8-3,4.6 颗星，最多 5 颗星
3,Fruit of the Loom Men's Eversoft Cotton Stay Tucked Crew T-Shirt,US$21.48,/-/zh/dp/B08F2NQ9VQ/ref=sr_1_4?keywords=T-shirts&qid=1682675267&sr=8-4,4.6 颗星，最多 5 颗星
4,"Fruit of the Loom 男式 Eversoft 棉质短袖口袋 T 恤,透气无标签",US$21.48,/-/zh/dp/B08F2PW4TT/ref=sr_1_5?keywords=T-shirts&qid=1682675267&sr=8-5,4.5 颗星，最多 5 颗星
5,Hanes 男式 double-needle 缝合袖棉质 T 恤套4,US$14.99,/-/zh/dp/B00KBZOTKG/ref=ice_ac_b_dpb?keywords=T-shirts&qid=1682675267&sr=8-6,4.5 颗星，最多 5 颗星
6,Hanes Men's Cotton Undershirt,US$10.98,/-/zh/dp/B000HOBYCW/ref=sr_1_7?keywords=T-shirts&qid=1682675267&sr=8-7,4.5 颗星，最多 5 颗星
7,Hanes 男式中性款厚实圆领棉质 T 恤(1 件装或 2 件装),US$7.20,/-/zh/dp/B00NOY3JPC/ref=sr_1_8?keywords=T-shirts&qid=1682675267&sr=8-8,4.5 颗星，最多 5 颗星
8,"Gildan 男式 V 领 T 恤,多件装,款式 G1103, 白色",US$18.99,/-/zh/dp/B077ZN2F83/ref=sr_1_9?keywords=T-shirts&qid=1682675267&sr=8-9,4.5 颗星，最多 5 颗星
9,"Comfort Colors 成人短袖 T 恤,款式 1717",US$8.95,/-/zh/dp/B07M8YF6WZ/ref=sr_1_10?keywords=T-shirts&qid=1682675267&sr=8-10,4.6 颗星，最多 5 颗星
10,"Amazon Essentials Women's Classic-Fit Short-Sleeve Crewneck T-Shirt, Multipacks",US$15.92,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09891313SG72V6MJ383Q&qualifier=1682675267&id=6551951048337861&widgetName=sp_mtf&url=%2Fdp%2FB0775M3R5Q%2Fref%3Dsr_1_11_ffob_sspa%3Fkeywords%3DT-shirts%26qid%3D1682675267%26sr%3D8-11-spons%26psc%3D1,4.4 颗星，最多 5 颗星
11,5 件装男式活力快干圆领 T 恤 | 运动跑步健身房锻炼短袖 T 恤上衣 散装,US$39.95,/-/zh/dp/B0B728NH19/ref=sr_1_12?keywords=T-shirts&qid=1682675267&sr=8-12,4.6 颗星，最多 5 颗星
12,"Amazon Essentials Women's Classic-Fit Short-Sleeve V-Neck T-Shirt, (Available in Plus Size), Multipacks",US$15.92,/-/zh/dp/B07756MBWS/ref=sr_1_13?keywords=T-shirts&qid=1682675267&sr=8-13,4.4 颗星，最多 5 颗星
13,"Gildan 男式超棉 T 恤,款式 G2000",US$15.99,/-/zh/dp/B076124BL3/ref=sr_1_14?keywords=T-shirts&qid=1682675267&sr=8-14,4.5 颗星，最多 5 颗星
14,"Gildan 男式厚棉 T 恤,款式 G5000,多件装, 爱尔兰绿",US$34.84,/-/zh/dp/B0828MYG9M/ref=sr_1_15?keywords=T-shirts&qid=1682675267&sr=8-15,4.5 颗星，最多 5 颗星
15,Jescakoo 女式夏季上衣圆领宽松柔软,US$22.99,/-/zh/dp/B08V5FSV9H/ref=sr_1_16?keywords=T-shirts&qid=1682675267&sr=8-16,4.2 颗星，最多 5 颗星
16,HALAHAI Mens Casual T-Shirt Crew Neck Short Sleeve Cotton Tees,US$17.97,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A044794739MMZL8I7EVC2&qualifier=1682675267&id=6551951048337861&widgetName=sp_mtf&url=%2Fdp%2FB0BZD2ZSQP%2Fref%3Dsr_1_17_sspa%3Fkeywords%3DT-shirts%26qid%3D1682675267%26sr%3D8-17-spons%26psc%3D1,N/A
