,product_name,price,url,product_rating
0,Amazon Basics USB 2.0 充电器电缆 - A-公头到迷你 B 线 - 3 英尺(0.9 米),US$5.49,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08920201HNX3OTSO0PK9&qualifier=1682675319&id=1525190636775214&widgetName=sp_atf&url=%2Fdp%2FB00NH13S44%2Fref%3Dsr_1_1_ffob_sspa%3Fkeywords%3DUSB%2BCable%26qid%3D1682675319%26sr%3D8-1-spons%26psc%3D1,4.6 颗星，最多 5 颗星
1,"USB Extension Cable [6.6FT+6.6FT 2Pack] USB 2.0 Extension Cable USB Type A Male to Female Cable USB 2.0 Extension Lead Compatible for USB Keyboard, Printer,Mouse, Flash Drive, Hard Drive, etc - Blue",US$7.99,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08264902UJ4E1PULEKQY&qualifier=1682675319&id=1525190636775214&widgetName=sp_atf&url=%2Fdp%2FB0BXP6NNSB%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DUSB%2BCable%26qid%3D1682675319%26sr%3D8-2-spons%26psc%3D1,5.0 颗星，最多 5 颗星
2,"Jelly Tang USB 3.0 A 至 A 公头电缆 3 英尺,USB 转 USB 电缆 USB 公对公电缆 USB 线 带镀金连接器 适用于硬盘外壳、DVD 播放器、笔记本电脑冷却器(3 英尺/1 米)",US$5.99,/-/zh/dp/B07KJFWYXF/ref=ice_ac_b_dpb?keywords=USB+Cable&qid=1682675319&sr=8-3,4.5 颗星，最多 5 颗星
3,"Amazon Basics USB 2.0 A-公头到 Micro B 数据线,6 英尺,黑色,打印机",US$6.95,/-/zh/dp/B07232M876/ref=sr_1_4?keywords=USB+Cable&qid=1682675319&sr=8-4,4.6 颗星，最多 5 颗星
4,"Amazon Basics USB 2.0 打印机型电缆 - A-公头到 B-公头 - 16 英尺(4.8 米),黑色",N/A,/-/zh/dp/B00BCWALHM/ref=sr_1_5?keywords=USB+Cable&qid=1682675319&sr=8-5,4.7 颗星，最多 5 颗星
5,Amazon Basics USB 2.0 充电器电缆 - A-公头到迷你 B 线 - 3 英尺(0.9 米),US$5.49,/-/zh/dp/B00NH13S44/ref=sr_1_6?keywords=USB+Cable&qid=1682675319&sr=8-6,4.6 颗星，最多 5 颗星
6,"Amazon Basics USB 2.0 A-Male to Micro B Cable, 10 feet, Black, Printer",N/A,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03700562Y76BOGMWVSBY&qualifier=1682675319&id=1525190636775214&widgetName=sp_mtf&url=%2Fdp%2FB071S5NTDR%2Fref%3Dsr_1_7_ffob_sspa%3Fkeywords%3DUSB%2BCable%26qid%3D1682675319%26sr%3D8-7-spons%26psc%3D1,4.6 颗星，最多 5 颗星
7,"AINOPE USB 3.0 A 至 A 公头电缆,[6.6 英尺] USB 3.0 至 USB 3.0 电缆 [Never Rupture] USB 公对公电缆双端 USB 线兼容硬盘外壳、DVD 播放器、笔记本电脑冷灰色",US$7.99,/-/zh/dp/B09FDJFJ6Z/ref=sr_1_8?keywords=USB+Cable&qid=1682675319&sr=8-8,4.6 颗星，最多 5 颗星
8,"etguuds [2 件装,3 英尺] USB C 电缆 3A 快速充电,USB A 到 C 型充电器线编织兼容三星 Galaxy A10e A20 A50 A51 A71,S20 S10 S9 S8 Plus S10E。 注 20,注 10 9 8,Moto G7 G8",US$6.99,/-/zh/dp/B089DM4KDW/ref=sr_1_9?keywords=USB+Cable&qid=1682675319&sr=8-9,4.6 颗星，最多 5 颗星
9,"Monoprice 6 英尺 USB 2.0 A 公头到 B 公头 28/24AWG 电缆(镀金)(105438),黑色",US$3.89,/-/zh/dp/B003BXPQF2/ref=sr_1_10?keywords=USB+Cable&qid=1682675319&sr=8-10,4.7 颗星，最多 5 颗星
