,product_name,price,url,product_rating
0,"课堂耳机 散装 5 件装,学生耳上颜色多样,舒适的旋转耳机适用于图书馆、学校、飞机、儿童,在线学习和旅行,噪音立体声 3.5 毫米插孔(黑色)",US$37.97,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07892992HL2CWHZBKV55&qualifier=1682675088&id=4134090475979844&widgetName=sp_atf&url=%2Fdp%2FB08SBSP3JY%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dheadphones%26qid%3D1682675088%26sr%3D8-1-spons%26psc%3D1,4.6 颗星，最多 5 颗星
1,"头戴式蓝牙耳机,BERIBES 65 小时播放时间和 6 种 EQ 音乐模式无线耳机带麦克风,高保真立体声可折叠轻质耳机,深低音适用于家庭办公室手机 PC 电视(绿色)",US$21.99,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0627212FYCNSRGSO9XM&qualifier=1682675088&id=4134090475979844&widgetName=sp_atf&url=%2Fdp%2FB0BV9F196L%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dheadphones%26qid%3D1682675088%26sr%3D8-2-spons%26psc%3D1,4.5 颗星，最多 5 颗星
2,"ELECDER i45 头戴式耳机带麦克风 – 可折叠立体声低音耳机带无缠结1.5米线,3.5毫米插孔,便携式有线耳机适用于学校/儿童/青少年/智能手机/旅行/平板电脑 – 蓝色",US$14.99,/-/zh/dp/B09XV4XV7T/ref=sr_1_3?keywords=headphones&qid=1682675088&sr=8-3,4.5 颗星，最多 5 颗星
3,"Beats Studio3 无线降噪头戴式耳机 - Apple W1 耳机芯片,1 级蓝牙,22 小时聆听时间,内置麦克风-哑光黑色(最新型号)",N/A,/-/zh/dp/B085296FLT/ref=sr_1_4?keywords=headphones&qid=1682675088&sr=8-4,4.7 颗星，最多 5 颗星
4,"Sony 索尼 WH-1000XM4 无线高级降噪头戴式耳机带麦克风,用于电话通话和 Alexa 语音控制,黑色",US$348.00,/-/zh/dp/B0863TXGM3/ref=sr_1_5?keywords=headphones&qid=1682675088&sr=8-5,4.7 颗星，最多 5 颗星
5,"INFURTURE 主动降噪耳机 H1 无线头戴式蓝牙耳机,深低音耳机,低延迟,记忆泡沫耳罩,40 小时播放时间,适合成人、儿童、电视、旅行、家庭办公室",US$49.99,/-/zh/dp/B0B879C5DS/ref=sr_1_6?keywords=headphones&qid=1682675088&sr=8-6,4.4 颗星，最多 5 颗星
6,sephia SP3060 耳塞有线入耳式耳机带防缠绕线噪音隔离耳机深低音外壳耳塞 3.5 毫米插孔插头,US$14.95,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0710232227AHYQO9ZQO2&qualifier=1682675088&id=4134090475979844&widgetName=sp_mtf&url=%2Fdp%2FB0170RBJ9Q%2Fref%3Dsr_1_7_sspa%3Fkeywords%3Dheadphones%26qid%3D1682675088%26sr%3D8-7-spons%26psc%3D1,4.3 颗星，最多 5 颗星
7,Apple EarPods 耳机,US$16.99,/-/zh/dp/B06X16Z7DZ/ref=sr_1_8?keywords=headphones&qid=1682675088&sr=8-8,4.6 颗星，最多 5 颗星
8,"V8 无线蓝牙耳机头戴式,80 小时播放时间无线耳机,带深低音,轻质可折叠耳机内置麦克风,HiFi 立体声,适用于旅行工作、笔记本电脑、电脑手机",US$26.99,/-/zh/dp/B0BRSJZM4Q/ref=sr_1_9?keywords=headphones&qid=1682675088&sr=8-9,4.6 颗星，最多 5 颗星
9,"DIUARA 无线耳塞 V5.3 蓝牙耳机 48 小时播放时间 LED 电源显示充电盒,IPX5 防水深低音立体声耳机带麦克风适用于 Android iOS 手机",US$22.99,/-/zh/dp/B0BN7J9PJW/ref=sr_1_10?keywords=headphones&qid=1682675088&sr=8-10,4.8 颗星，最多 5 颗星
