,product_name,price,url,product_rating
0,"Apple iPhone 11, 64GB, Black - Unlocked (Renewed)",US$306.00,/-/zh/dp/B07ZPKN6YR/ref=sr_1_1?keywords=IPhone&qid=1682675008&sr=8-1,4.3 颗星，最多 5 颗星
1,"苹果 iPhone XR,64GB,黑色 - 已解锁(续订)",US$224.95,/-/zh/dp/B07P6Y7954/ref=sr_1_2?keywords=IPhone&qid=1682675008&sr=8-2,4.5 颗星，最多 5 颗星
2,"Apple iPhone 12 Mini,64GB,蓝色 - 完全解锁(翻新)",US$319.00,/-/zh/dp/B08PNN2SKF/ref=sr_1_3?keywords=IPhone&qid=1682675008&sr=8-3,4.3 颗星，最多 5 颗星
3,"苹果 iPhone 14 Pro,1TB,深紫色 - 已解锁(续订高级版)",4 种尺码,/-/zh/dp/B0BYLLW8QK/ref=sr_1_4?keywords=IPhone&qid=1682675008&sr=8-4,N/A
4,"iPhone 13,128GB,产品红色 - 已解锁(续订高级版)",US$668.00,/-/zh/dp/B0BGQMS4SB/ref=sr_1_5?keywords=IPhone&qid=1682675008&sr=8-5,4.3 颗星，最多 5 颗星
5,"iPhone 13 Pro Max,128GB,塞拉利昂蓝 - 已解锁(续订高级版)",US$940.00,/-/zh/dp/B0BGYG5GSJ/ref=sr_1_6?keywords=IPhone&qid=1682675008&sr=8-6,4.1 颗星，最多 5 颗星
6,Apple iPhone XS，无锁 (翻新),US$279.50,/-/zh/dp/B07TJBCC7H/ref=sr_1_7?keywords=IPhone&qid=1682675008&sr=8-7,4.3 颗星，最多 5 颗星
7,"苹果 iPhone 12 Mini,128GB,黑色 - 已解锁(续订高级版)",US$449.87,/-/zh/dp/B09JFFR729/ref=sr_1_8?keywords=IPhone&qid=1682675008&sr=8-8,4.3 颗星，最多 5 颗星
8,"苹果 iPhone 14 Pro Max,1TB,深紫色 - 已解锁(续订高级版)",N/A,/-/zh/dp/B0BYM4898K/ref=sr_1_9?keywords=IPhone&qid=1682675008&sr=8-9,5.0 颗星，最多 5 颗星
9,"苹果 iPhone 12 Pro Max,256GB,太平洋蓝 - 已解锁(续订高级版)",US$799.00,/-/zh/dp/B09JFFG8D7/ref=sr_1_10?keywords=IPhone&qid=1682675008&sr=8-10,4.4 颗星，最多 5 颗星
10,"苹果 iPhone XR,128GB,白色 - 适用于 Verizon (续订)",US$274.74,/-/zh/dp/B07T1M19VX/ref=sr_1_11?keywords=IPhone&qid=1682675008&sr=8-11,4.2 颗星，最多 5 颗星
11,"iPhone 13 Pro,512GB,塞拉利昂蓝 - 已解锁(续订高级版)",US$939.00,/-/zh/dp/B0BGYF4CZC/ref=sr_1_12?keywords=IPhone&qid=1682675008&sr=8-12,3.8 颗星，最多 5 颗星
12,"iPhone 13 Pro,128GB,金色 - 已解锁(续订高级版)",US$849.00,/-/zh/dp/B0BGY8SNQQ/ref=sr_1_13?keywords=IPhone&qid=1682675008&sr=8-13,4.1 颗星，最多 5 颗星
13,"苹果 iPhone 14 Pro,1TB,太空黑 - 已解锁(续订)","US$1,244.97",/-/zh/dp/B0BN95PCTT/ref=sr_1_14?keywords=IPhone&qid=1682675008&sr=8-14,4.2 颗星，最多 5 颗星
14,"苹果 iPhone 11,64GB,紫色 - 已解锁(续订高级版)",US$379.00,/-/zh/dp/B011SDYBZW/ref=sr_1_15?keywords=IPhone&qid=1682675008&sr=8-15,4.4 颗星，最多 5 颗星
15,"苹果 iPhone SE(第二代),美国版,64GB,白色 - 已解锁(续订)",US$199.99,/-/zh/dp/B088NQSLGN/ref=sr_1_16?keywords=IPhone&qid=1682675008&sr=8-16,4.4 颗星，最多 5 颗星
