,product_name,price,url,product_rating
0,"Lenovo 联想 15.6 英寸 IdeaPad 1 笔记本电脑,AMD 双核处理器,15.6 英寸高清防眩光显示屏,Wi-Fi 6 和蓝牙 5.0,HDMI,Windows 11 家庭模式(12GB RAM | 256GB SSD)",US$299.00,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04730803R9UL8DMJYTVZ&qualifier=1682674878&id=412609346687841&widgetName=sp_atf&url=%2Fdp%2FB0BMWDBPCQ%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DLaptops%26qid%3D1682674878%26sr%3D8-1-spons%26psc%3D1,4.1 颗星，最多 5 颗星
1,"微星 Pulse GL66 15.6 英寸全高清 144Hz 游戏笔记本电脑:英特尔酷睿 i7-12700H RTX 3070 16GB 512GB NVMe SSD,Type-C USB 3.2 Gen 1,RGB 游戏键盘,Cooler Boost 5,Win11 Home:黑色 12UGKV-464","US$1,220.62",/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03229948WRLEDTOW6S6&qualifier=1682674878&id=412609346687841&widgetName=sp_atf&url=%2Fdp%2FB09RB9B7SD%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DLaptops%26qid%3D1682674878%26sr%3D8-2-spons%26psc%3D1,4.4 颗星，最多 5 颗星
2,华硕 15 超薄 Chrome OS 笔记本电脑英特尔处理器高达 2.4GHz 15.6 英寸全高清 NanoEdge 显示屏带 180 度铰链 4GB DDR4 32GB 存储 WiFi + BT(C523 — 续订),US$134.99,/-/zh/dp/B0B3F3KFR9/ref=sr_1_3?keywords=Laptops&qid=1682674878&sr=8-3,4.4 颗星，最多 5 颗星
3,"Lenovo 联想 IdeaPad 1i 14 英寸高清笔记本电脑,4GB 内存,256GB 存储空间,英特尔奔腾 N5030 处理器,10 小时电池寿命,快速充电,家庭和教育笔记本电脑,HDMI,Type-C,Windows 1 1S、1、1 Year Microsoft 365",US$217.87,/-/zh/dp/B0BT16W2WK/ref=sr_1_4?keywords=Laptops&qid=1682674878&sr=8-4,4.3 颗星，最多 5 颗星
4,"Lenovo 联想 2022 最新 Ideapad 3 笔记本电脑,15.6 英寸高清触摸屏,第 11 代英特尔酷睿 i3-1115G4 处理器,8GB DDR4 内存,256GB PCIe NVMe 固态硬盘,HDMI,网络摄像头,Wi-Fi 5,蓝牙,Windows 11 个家庭版 ,杏仁",US$383.00,/-/zh/dp/B08B6F1NNR/ref=sr_1_5?keywords=Laptops&qid=1682674878&sr=8-5,4.4 颗星，最多 5 颗星
5,网关最新触摸屏 11.6 高清 2 合 1 可转换笔记本电脑蓝色英特尔 N4020 4GB RAM 64GB SSD 迷你 HDMI 网络摄像头 Windows 10 S(续订)(GT-116),US$134.78,/-/zh/dp/B09XKTK4RB/ref=sr_1_6?keywords=Laptops&qid=1682674878&sr=8-6,3.9 颗星，最多 5 颗星
6,"WAKST 笔记本电脑 Windows 11,13.3 英寸 Intel E3950 2.0 GHz 英特尔高清显卡 500,6GB RAM + 128GB 固态硬盘,轻薄笔记本电脑,WPS Office,USB 3.0,蓝牙,MHDMI,灰色",US$169.99,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A094384429YYONCQDNKAG&qualifier=1682674878&id=412609346687841&widgetName=sp_mtf&url=%2Fdp%2FB0BBM6W9CW%2Fref%3Dsr_1_7_sspa%3Fkeywords%3DLaptops%26qid%3D1682674878%26sr%3D8-7-spons%26psc%3D1,2.5 颗星，最多 5 颗星
7,"惠普 2021 Stream 14 英寸高清 SVA 笔记本电脑,英特尔赛扬 N4000 处理器,4GB RAM,64GB eMMC 闪存,网络摄像头,1 年办公,英特尔超高清显卡 600,Win 10S,玫瑰粉色 ,32GB S。 nowBell USB 卡",US$289.00,/-/zh/dp/B08RPBG7G4/ref=ice_ac_b_dpb?keywords=Laptops&qid=1682674878&sr=8-8,4.2 颗星，最多 5 颗星
8,"华硕 Vivobook Go 15 L510 轻薄笔记本电脑,15.6 英寸全高清显示屏,英特尔赛扬 N4020 处理器,4GB 内存,64GB 存储空间,Windows 11 家庭在 S 模式下,1 年微软 365, 星黑 星黑 , L510MA-AS02",US$204.50,/-/zh/dp/B09SVR5VD4/ref=sr_1_9?keywords=Laptops&qid=1682674878&sr=8-9,4.1 颗星，最多 5 颗星
9,"ANMESC 笔记本电脑,15.6 英寸 1080P 全高清显示屏高性能四核英特尔赛扬 N5095 处理器 12GB DDR4 512GB SSD Windows 11 笔记本电脑,2.4G/5G WiFi,蓝牙 4。 2,长 B2,长 attery Life",US$399.99,/-/zh/dp/B0BZRYT8NF/ref=sr_1_10?keywords=Laptops&qid=1682674878&sr=8-10,5.0 颗星，最多 5 颗星
10,2022 HP Pavilion 15.6 英寸高清笔记本电脑、英特尔双核奔腾处理器、8GB 内存、256GB 固态硬盘、高清网络摄像头、英特尔超高清显卡 605、蓝牙、USB-C、Windows 10 S、红色、32GB 雪铃 USB 卡片卡,US$369.00,/-/zh/dp/B0BKFQXXGF/ref=sr_1_11?keywords=Laptops&qid=1682674878&sr=8-11,4.3 颗星，最多 5 颗星
11,"ECOHERO Windows 11 笔记本电脑,15.6 英寸全高清(1920 x 1080)IPS 显示屏,英特尔酷睿 i3-5005U,12GB RAM 和 512GB SSD 笔记本电脑,2.4G/5G WiFi,BT4.2 和 RJ45,全 功能类型 e C,太空灰",US$349.00,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05049551OU71LXSLVFMF&qualifier=1682674878&id=412609346687841&widgetName=sp_mtf&url=%2Fdp%2FB0BG4SNFSD%2Fref%3Dsr_1_12_sspa%3Fkeywords%3DLaptops%26qid%3D1682674878%26sr%3D8-12-spons%26psc%3D1,4.3 颗星，最多 5 颗星
12,惠普 2023 15 英寸高清 IPS 笔记本电脑、Windows 11、英特尔奔腾 4 核处理器高达 2.70GHz、8GB 内存、128GB 固态硬盘、HDMI、超快第 6 代 WiFi、戴尔红色(续订),US$280.00,/-/zh/dp/B0BQ9W4DV3/ref=sr_1_13?keywords=Laptops&qid=1682674878&sr=8-13,4.3 颗星，最多 5 颗星
13,宏碁 Aspire 5 A515-56-347N 超薄笔记本电脑 - 15.6 英寸全高清 IPS 显示屏 - 第 11 代 Intel i3-1115G4 双核处理器 - 8GB DDR4 - 128GB NVMe SSD - WiFi 6 - 亚马逊 lexa - 风 ows 11 家庭版 S 模式,US$299.99,/-/zh/dp/B0BL86VM7F/ref=sr_1_14?keywords=Laptops&qid=1682674878&sr=8-14,4.3 颗星，最多 5 颗星
14,"联想 81ER0002US 100e,铬英特尔 N3350 2.4 GHz 笔记本电脑,4 GB RAM 16GB 固态硬盘(续订)",US$79.00,/-/zh/dp/B0BLP9WSSV/ref=sr_1_15?keywords=Laptops&qid=1682674878&sr=8-15,4.1 颗星，最多 5 颗星
15,惠普 2022 Stream 14 英寸高清笔记本电脑、英特尔赛扬 N4120 处理器、4GB 内存、64GB eMMC 存储、高清网络摄像头、HDMI、Wi-Fi、蓝牙、玫瑰金、Office 365 1 年、Windows 11 S、32 GB 雪铃 USB 卡,US$289.00,/-/zh/dp/B0BQ98FVP3/ref=sr_1_16?keywords=Laptops&qid=1682674878&sr=8-16,4.2 颗星，最多 5 颗星
16,"Windows 11 笔记本电脑,BiTECOOL 2022 新款 15.6 英寸全高清 IPS 显示屏 PC 笔记本电脑,Intel Celeron J4125 四核,8GB RAM 和 256GB 固态硬盘,BT4.2,2.4/5G WiFi,全尺寸键盘,超薄",US$279.00,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A005926219YYAABEO713T&qualifier=1682674878&id=412609346687841&widgetName=sp_mtf&url=%2Fdp%2FB09SL654NW%2Fref%3Dsr_1_17_sspa%3Fkeywords%3DLaptops%26qid%3D1682674878%26sr%3D8-17-spons%26psc%3D1,4.2 颗星，最多 5 颗星
17,"Jumper 16 英寸笔记本电脑,16GB RAM 512GB SSD,第 11 代英特尔赛扬 N5095,FHD IPS 屏幕(1920*1200),Windows 11 笔记本电脑,带 2.4G/5G WiFi,四个立体声扬声器,酷炫 ing 风扇,3 个,8000mWH 电池",US$379.99,/-/zh/dp/B0BWN6XVZS/ref=sr_1_18?keywords=Laptops&qid=1682674878&sr=8-18,4.6 颗星，最多 5 颗星
18,"三星 2022 14 英寸 FHD(1920 x 1080)笔记本电脑,Windows 11 操作系统,高通八核骁龙处理器 2.55GHz,4GB LPDDR4x,64GB 固态硬盘(续订)",US$165.00,/-/zh/dp/B09V6S3FVX/ref=sr_1_19?keywords=Laptops&qid=1682674878&sr=8-19,4.0 颗星，最多 5 颗星
19,"HP 最新旗舰 14 英寸高清商务笔记本电脑,4 核 i5-1135G7(最高 4.2GHz,击败 i7-1060G7),16GB 内存,512GB PCIe SSD,Iris Xe 显卡,网络摄像头,WiFi,蓝牙 Win 11 家庭,带通用游戏鼠标",US$569.00,/-/zh/dp/B0BTBWGNQT/ref=sr_1_20?keywords=Laptops&qid=1682674878&sr=8-20,4.4 颗星，最多 5 颗星
20,"Lenovo 联想 IdeaPad 3 11 Chromebook 笔记本电脑,11.6 英寸高清显示屏,英特尔赛扬 N4020,4GB 内存,64GB 存储空间,超高清显卡 600,Chrome OS,缟玛瑙黑色",US$142.00,/-/zh/dp/B087YW8FQB/ref=sr_1_21?keywords=Laptops&qid=1682674878&sr=8-21,4.4 颗星，最多 5 颗星
21,"2022 升级版 Ideapad 1i 笔记本电脑,适用于大学生和商务,14 英寸高清计算机,英特尔赛扬 N4020,4GB 内存,128GB(64GB 固态硬盘+64GB 卡),1 年 MS Office 365,HDMI 网络摄像头, 网络摄像头, Windows 11",US$199.99,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01244691HC4QKOZXACMN&qualifier=1682674878&id=412609346687841&widgetName=sp_btf&url=%2Fdp%2FB0BML5RZMR%2Fref%3Dsr_1_22_sspa%3Fkeywords%3DLaptops%26qid%3D1682674878%26sr%3D8-22-spons%26psc%3D1%26smid%3DA9D6J376CGTLK,5.0 颗星，最多 5 颗星
