,product_name,price,url,product_rating
0,TOSHIBA EM131A5C-BS 台面微波炉烤箱 1.2 立方英尺(约 31.5 厘米)可拆卸转盘智能湿度传感器 12 自动菜单静音功能 ECO 模式易于清洁内部 黑色 1100W,US$135.99,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02557162YC6K9DI51TIF&qualifier=1682675051&id=3865293436538332&widgetName=sp_atf&url=%2Fdp%2FB071WCB1T6%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dmicrowave%26qid%3D1682675051%26sr%3D8-1-spons%26psc%3D1,4.5 颗星，最多 5 颗星
1,"BLACK+DECKER 数字微波炉带转盘按钮门,儿童安全锁,不锈钢,0.9 立方英尺",US$104.27,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09569492SPTAX3LWSR9V&qualifier=1682675051&id=3865293436538332&widgetName=sp_atf&url=%2Fdp%2FB07HG9YGZY%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dmicrowave%26qid%3D1682675051%26sr%3D8-2-spons%26psc%3D1,4.4 颗星，最多 5 颗星
2,"BLACK+DECKER EM720CB7 数字微波炉带转盘按钮门,儿童安全锁,700W,不锈钢,0.7立方英尺",US$75.27,/-/zh/dp/B07HGH1KG6/ref=sr_1_3?keywords=microwave&qid=1682675051&sr=8-3,4.4 颗星，最多 5 颗星
3,"TOSHIBA EM131A5C-SS 台面微波炉,1.2 立方英尺(约 31.5 厘米)转盘,智能湿度传感器,带 12 个自动菜单,静音功能和生态模式,易于清洁,内部不锈钢和 1100 W",US$133.00,/-/zh/dp/B076VB5JFQ/ref=sr_1_4?keywords=microwave&qid=1682675051&sr=8-4,4.5 颗星，最多 5 颗星
4,"商用厨师台面微波炉,0.7 立方英尺,不锈钢",US$90.02,/-/zh/dp/B00BGTOHJO/ref=sr_1_5?keywords=microwave&qid=1682675051&sr=8-5,4.4 颗星，最多 5 颗星
5,"Galanz GLCMKZ09BER09 复古台面微波炉,带自动烹饪和再加热,除霜,快速启动功能,可用玻璃转盘轻松清洁,拉手,0.9 立方英尺,蓝色",US$97.91,/-/zh/dp/B09BR1C97S/ref=sr_1_6?keywords=microwave&qid=1682675051&sr=8-6,4.6 颗星，最多 5 颗星
6,"Emerson 0.7 CU.FT. 700 瓦,触摸控制,黑色微波炉,MW7302B",US$72.68,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00646583A0RODHDAFOI&qualifier=1682675051&id=3865293436538332&widgetName=sp_mtf&url=%2Fdp%2FB000M9EFNM%2Fref%3Dsr_1_7_sspa%3Fkeywords%3Dmicrowave%26qid%3D1682675051%26sr%3D8-7-spons%26psc%3D1,4.4 颗星，最多 5 颗星
7,"COMFEE' EM720CPL-PMB 台面微波炉,带声音开/关,生态模式和简单的一键式按钮,0.7cu.ft,700W,黑色",US$81.99,/-/zh/dp/B07GV36BLD/ref=sr_1_8?keywords=microwave&qid=1682675051&sr=8-8,4.4 颗星，最多 5 颗星
8,"松下微波炉 NN-SN686S 不锈钢台面/内置逆变器技术和天才传感器,1.2 立方英尺,1200W",US$202.00,/-/zh/dp/B01DEWZUG4/ref=sr_1_9?keywords=microwave&qid=1682675051&sr=8-9,4.5 颗星，最多 5 颗星
9,"Farberware 紧凑型台面微波炉,0.7 立方英尺 700 瓦,带 LED 照明,儿童锁,易清洁灰色内饰,复古白色",US$79.99,/-/zh/dp/B01EIZSF68/ref=sr_1_10?keywords=microwave&qid=1682675051&sr=8-10,4.4 颗星，最多 5 颗星
10,"TOSHIBA ML-EM45P(BS)台面微波炉,带智能传感器和位置记忆转盘,记忆功能,1.6 立方英尺(约 34.5 厘米)可拆卸转盘,黑色不锈钢,1200 瓦",US$149.99,/-/zh/dp/B081T6GZZF/ref=sr_1_11?keywords=microwave&qid=1682675051&sr=8-11,4.3 颗星，最多 5 颗星
11,"BLACK+DECKER EM036AB14 数字微波炉带转盘按钮门,儿童安全锁,不锈钢,1.4 立方英尺",US$157.99,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0209548393YRGS1JKZ8V&qualifier=1682675051&id=3865293436538332&widgetName=sp_mtf&url=%2Fdp%2FB07HGHM83L%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dmicrowave%26qid%3D1682675051%26sr%3D8-12-spons%26psc%3D1,4.4 颗星，最多 5 颗星
