,product_name,price,url,product_rating
0,"三星 Galaxy S23 手机,工厂解锁 Android 智能手机,128GB 存储空间,5000 万像素摄像头,夜间模式,电池寿命长,自适应显示,美国版,2023,奶油色",US$699.99,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06582923HYRHU8492A1U&qualifier=1682674959&id=5310092957388478&widgetName=sp_atf&url=%2Fdp%2FB0BLP2YFKB%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DMobile%2BPhones%26qid%3D1682674959%26sr%3D8-1-spons%26psc%3D1,5.0 颗星，最多 5 颗星
1,"三星 Galaxy A53 5G A 系列手机,工厂解锁 Android 智能手机,128GB,6.5 英寸 FHD 超级 AMOLED 屏幕,电池续航时间长,美国版,黑色",US$349.00,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A1037871XKHUZ94AZ6CB&qualifier=1682674959&id=5310092957388478&widgetName=sp_atf&url=%2Fdp%2FB09R6FJWWS%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DMobile%2BPhones%26qid%3D1682674959%26sr%3D8-2-spons%26psc%3D1,4.3 颗星，最多 5 颗星
2,三星 Galaxy S20+ 5G 128GB 完全解锁智能手机(续订),US$234.00,/-/zh/dp/B08FRQMW31/ref=sr_1_3?keywords=Mobile+Phones&qid=1682674959&sr=8-3,4.3 颗星，最多 5 颗星
3,Moto G Stylus | 2022 | 2 天电池 | 解锁 | 摩托罗拉为美国制造 | 6/128GB | 50MP 摄像头 | 暮光蓝,US$287.99,/-/zh/dp/B09PFC2DVD/ref=ice_ac_b_dpb?keywords=Mobile+Phones&qid=1682674959&sr=8-4,4.3 颗星，最多 5 颗星
4,"三星 Galaxy S23 Ultra 手机,工厂解锁 Android 智能手机,256GB 存储空间,200MP 摄像头,夜间模式,电池寿命长,S 笔,美国版,2023,绿色",US$999.99,/-/zh/dp/B0BLP3ZZXT/ref=sr_1_5?keywords=Mobile+Phones&qid=1682674959&sr=8-5,4.6 颗星，最多 5 颗星
5,"Google 谷歌 Pixel 3a 64G智能手机, 3A",US$166.10,/-/zh/dp/B07R7DY911/ref=sr_1_6?keywords=Mobile+Phones&qid=1682674959&sr=8-6,4.4 颗星，最多 5 颗星
6,"三星 Galaxy A03 Core (SM-A032/DS) 双 SIM 卡 32GB/ 2GB RAM,GSM 解锁国际版 - 无保修 - 黑色",US$88.95,/-/zh/dp/B09Q98BRRN/ref=sr_1_7?keywords=Mobile+Phones&qid=1682674959&sr=8-7,3.9 颗星，最多 5 颗星
7,三星电子 Galaxy Note 20 5G 解锁 Android 手机 | 美国版 | 128GB 存储 | 移动游戏智能手机 | 持久电池 | 神秘灰色(续订),US$264.00,/-/zh/dp/B08HQZC2XK/ref=sr_1_8?keywords=Mobile+Phones&qid=1682674959&sr=8-8,4.2 颗星，最多 5 颗星
8,"谷歌 Pixel 6a - 5G 安卓手机 - 解锁智能手机,带 1200 万像素摄像头和 24 小时电池 - 炭黑色",US$332.50,/-/zh/dp/B0B3PSRHHN/ref=sr_1_9?keywords=Mobile+Phones&qid=1682674959&sr=8-9,4.3 颗星，最多 5 颗星
9,"谷歌 Pixel 4a 智能手机,128GB 存储和解锁手机 - 只是黑色(续订)",US$138.00,/-/zh/dp/B08H85VZNX/ref=sr_1_10?keywords=Mobile+Phones&qid=1682674959&sr=8-10,4.0 颗星，最多 5 颗星
10,"三星 Galaxy A53 5G A 系列手机,工厂解锁 Android 智能手机,128GB,6.5 英寸 FHD 超级 AMOLED 屏幕,电池续航时间长,美国版,黑色",US$349.00,/-/zh/dp/B09R6FJWWS/ref=sr_1_11?keywords=Mobile+Phones&qid=1682674959&sr=8-11,4.3 颗星，最多 5 颗星
11,"三星 Galaxy Z Flip 4 手机,工厂解锁 Android 智能手机,256GB,灵活模式,免提摄像头,紧凑,可折叠设计,信息屏幕,美国版,玫瑰金","US$1,059.99",/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05524832TRJP35D8JB7X&qualifier=1682674959&id=5310092957388478&widgetName=sp_mtf&url=%2Fdp%2FB0B3T8241H%2Fref%3Dsr_1_12_sspa%3Fkeywords%3DMobile%2BPhones%26qid%3D1682674959%26sr%3D8-12-spons%26psc%3D1,4.0 颗星，最多 5 颗星
12,"Simple Mobile 摩托罗拉 Moto g Pure,32GB,蓝色 - 预付费智能手机(已锁定)",US$51.00,/-/zh/dp/B0BHF67H9N/ref=sr_1_13?keywords=Mobile+Phones&qid=1682674959&sr=8-13,4.3 颗星，最多 5 颗星
