,product_name,price,url,product_rating
0,"三星 32 英寸 QLED LS03B 系列 The Frame Quantum HDR 智能电视,内置 Alexa (QN32LS03BBFXZA,最新型号)",US$449.00,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02441872H2V0PBLQ3I8A&url=%2Fdp%2FB09Y34RLV8%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dtelevisions%26qid%3D1682675132%26sr%3D8-1-spons%26psc%3D1&qualifier=1682675132&id=3122515365064114&widgetName=sp_atf,4.2 颗星，最多 5 颗星
1,"VIZIO 40 英寸 D 系列全高清 1080p 智能电视,内置 Apple AirPlay 和 Chromecast ,Alexa 兼容性,D40f-J09,2022 型号",US$178.00,/-/zh/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09036173Q1SFXRABB5S5&url=%2Fdp%2FB092Q1TRJC%2Fref%3Dice_ac_b_dpb_sspa%3Fkeywords%3Dtelevisions%26qid%3D1682675132%26sr%3D8-2-spons%26psc%3D1&qualifier=1682675132&id=3122515365064114&widgetName=sp_atf,4.3 颗星，最多 5 颗星
2,"LG Signature 88 英寸 OLED Z2 系列 8K 智能电视,内置 ALED88Z2PUA S95QR 9.1.5 声道条形音箱,带 6 声道后置扬声器,中央启动,杜比全景声 DTS:X,适用于 Alexa IMAX En。 hanced",2 种尺码,/-/zh/dp/B09WJXN5XD/ref=sr_1_3?keywords=televisions&qid=1682675132&sr=8-3,3.9 颗星，最多 5 颗星
3,"VIZIO 40 英寸 D 系列全高清 1080p 智能电视,内置 Apple AirPlay 和 Chromecast ,Alexa 兼容性,D40f-J09,2022 型号",US$178.00,/-/zh/dp/B092Q1TRJC/ref=ice_ac_b_dpb?keywords=televisions&qid=1682675132&sr=8-4,4.3 颗星，最多 5 颗星
4,"GTUOXIES 110 英寸超高清电视,TS110TV 超大屏幕电视 3840x2160 像素,体验各种内容,超高清画质","US$9,900.00",/-/zh/dp/B0B6168MZ6/ref=sr_1_5?keywords=televisions&qid=1682675132&sr=8-5,5.0 颗星，最多 5 颗星
5,"海信 55 英寸 R6 系列 杜比视界 HDR 4K UHD Roku 智能电视,兼容 Alexa (55R6G,2021 型号)",4 种尺码,/-/zh/dp/B08PDR6BQ7/ref=sr_1_6?keywords=televisions&qid=1682675132&sr=8-6,4.5 颗星，最多 5 颗星
6,TCL 32 英寸 3 级系列 全高清 1080p LED 智能 Roku 电视 - 32S359,US$159.99,/-/zh/dp/B0B232FKLB/ref=sr_1_7?keywords=televisions&qid=1682675132&sr=8-7,4.4 颗星，最多 5 颗星
7,"VIZIO 24 英寸 D 系列 FHD LED 智能电视,带蓝牙耳机,AMD FreeSync 和 Alexa 兼容性,D24fM-K01,2023 型号",US$149.99,/-/zh/dp/B0B286BGSL/ref=sr_1_8?keywords=televisions&qid=1682675132&sr=8-8,3.6 颗星，最多 5 颗星
8,"三星 32 英寸 LED 智能全高清 电视 1080P(UN32N5300AFXZA,2018 型号)",US$227.99,/-/zh/dp/B07CL4GLQW/ref=sr_1_9?keywords=televisions&qid=1682675132&sr=8-9,4.6 颗星，最多 5 颗星
9,"TCL 32 英寸 3 级系列 HD 720p LED 智能 Roku 电视 - 32S355,黑色",US$139.99,/-/zh/dp/B09YWT3P5Q/ref=sr_1_10?keywords=televisions&qid=1682675132&sr=8-10,4.6 颗星，最多 5 颗星
